"Source";"Target";"weight";"first_year";"last_year";"Fryslân";"Gelderland";"Limburg";"Noord-Holland";"Overijssel";"UGV";"Zuid-Holland";"Noord-Brabant";"Drenthe";"Groningen";"Zeeland";"Flevoland";"frac_Fryslân";"frac_Gelderland";"frac_Limburg";"frac_Noord-Holland";"frac_Overijssel";"frac_UGV";"frac_Zuid-Holland";"frac_Noord-Brabant";"frac_Drenthe";"frac_Groningen";"frac_Zeeland";"frac_Flevoland"
"A23L";"B32B";9;"2014";"2024";0;1;0;0;0;0;2;6;0;0;0;0;0;0.111111111111111;0;0;0;0;0.222222222222222;0.666666666666667;0;0;0;0
"A23L";"B33Y";6;"2017";"2021";0;4;0;0;0;0;2;0;0;0;0;0;0;0.666666666666667;0;0;0;0;0.333333333333333;0;0;0;0;0
"A23L";"B62D";1;"2020";"2020";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"A23L";"B64D";3;"2022";"2023";0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"A23L";"B65B";46;"2013";"2023";0;1;4;9;1;11;10;9;0;0;1;0;0;0.0217391304347826;0.0869565217391304;0.195652173913043;0.0217391304347826;0.239130434782609;0.217391304347826;0.195652173913043;0;0;0.0217391304347826;0
"A23L";"B65D";75;"2013";"2024";1;3;4;4;1;30;31;1;0;0;0;0;0.0133333333333333;0.04;0.0533333333333333;0.0533333333333333;0.0133333333333333;0.4;0.413333333333333;0.0133333333333333;0;0;0;0
"A23L";"B65G";3;"2020";"2024";0;1;0;0;0;0;0;2;0;0;0;0;0;0.333333333333333;0;0;0;0;0;0.666666666666667;0;0;0;0
"A23L";"B66F";4;"2018";"2023";0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"A23L";"B67D";8;"2015";"2024";0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0.25;0;0.75;0;0;0;0
"A23L";"B82Y";4;"2015";"2021";0;1;0;0;0;0;0;3;0;0;0;0;0;0.25;0;0;0;0;0;0.75;0;0;0;0
"A23L";"C01B";11;"2013";"2024";0;3;0;0;0;1;3;4;0;0;0;0;0;0.272727272727273;0;0;0;0.0909090909090909;0.272727272727273;0.363636363636364;0;0;0;0
"A23L";"C01D";9;"2013";"2020";0;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"A23L";"C02F";22;"2014";"2024";0;5;0;0;0;1;8;7;1;0;0;0;0;0.227272727272727;0;0;0;0.0454545454545455;0.363636363636364;0.318181818181818;0.0454545454545455;0;0;0
"A23L";"C05B";1;"2014";"2014";0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"A23L";"C05C";2;"2014";"2015";0;0;1;0;0;0;0;1;0;0;0;0;0;0;0.5;0;0;0;0;0.5;0;0;0;0
"A23L";"C05D";5;"2014";"2020";0;3;1;0;0;1;0;0;0;0;0;0;0;0.6;0.2;0;0;0.2;0;0;0;0;0;0
"A23L";"C05F";3;"2013";"2015";0;0;1;0;0;0;0;2;0;0;0;0;0;0;0.333333333333333;0;0;0;0;0.666666666666667;0;0;0;0
"A23L";"C05G";5;"2013";"2017";0;1;1;0;0;1;0;1;0;0;1;0;0;0.2;0.2;0;0;0.2;0;0.2;0;0;0.2;0
